iter	Logloss
0	0.6773813483
1	0.6576221185
2	0.6441307033
3	0.6285325991
4	0.6110932872
5	0.5940527978
6	0.5820424581
7	0.5680283172
8	0.5541091688
9	0.5386358154
10	0.5263495574
11	0.511062932
12	0.4961785998
13	0.4822044683
14	0.4693073921
15	0.4573582044
16	0.4479115534
17	0.4367520871
18	0.4249493446
19	0.4173458481
20	0.408285223
21	0.403334795
22	0.395098465
23	0.3854948626
24	0.3774943972
25	0.3685308638
26	0.3620762043
27	0.3569590025
28	0.3499362335
29	0.3425859098
30	0.3358685102
31	0.3281320171
32	0.3210687227
33	0.3130676346
34	0.3087076483
35	0.3042368889
36	0.300868475
37	0.2952708673
38	0.2906946993
39	0.2850405159
40	0.2807951059
41	0.2769162006
42	0.2722317276
43	0.2683864422
44	0.2630344439
45	0.2581567945
46	0.2531706581
47	0.2497811737
48	0.2471616325
49	0.242624258
50	0.2381279697
51	0.2339093304
52	0.2288777771
53	0.2258543091
54	0.2229290104
55	0.2199433498
56	0.216279398
57	0.2136551876
58	0.2110599575
59	0.2086829491
60	0.2054080944
61	0.2036054268
62	0.2010081806
63	0.1981835003
64	0.194359684
65	0.1913177357
66	0.1880312824
67	0.1846202164
68	0.1816612759
69	0.1792845154
70	0.1769173985
71	0.1749856548
72	0.1719086208
73	0.1690674419
74	0.1672678356
75	0.1651826935
76	0.1631853085
77	0.1613288059
78	0.1602964897
79	0.158749239
80	0.1567145233
81	0.155012434
82	0.152927227
83	0.1510283909
84	0.1487955532
85	0.147236618
86	0.144737957
87	0.1432535114
88	0.1421107368
89	0.1401269093
90	0.1388328857
91	0.1364097767
92	0.1346631527
93	0.1337446423
94	0.1320458889
95	0.130419796
96	0.128487896
97	0.127009264
98	0.126066576
99	0.1243129272
100	0.1222512035
101	0.1208790016
102	0.119254467
103	0.1174521523
104	0.115934288
105	0.1151806946
106	0.1135528259
107	0.1119950657
108	0.1112262802
109	0.1104429588
110	0.1094012833
111	0.1082272949
112	0.106269453
113	0.1049527836
114	0.1036760578
115	0.1028172703
116	0.1013945656
117	0.1002485218
118	0.09923823738
119	0.0979800396
120	0.09692250824
121	0.09591552544
122	0.09510811806
123	0.0939776783
124	0.09307698822
125	0.0923007412
126	0.09143918037
127	0.09050542068
128	0.08953539467
129	0.08902594566
130	0.08779416847
131	0.08670675278
132	0.0857398243
133	0.08458349991
134	0.08416428185
135	0.08338684654
136	0.08267985916
137	0.08153486061
138	0.08120965767
139	0.08055562592
140	0.07983335686
141	0.07926976585
142	0.07831171417
143	0.07775583649
144	0.07687036514
145	0.07623086548
146	0.07570052528
147	0.07500819206
148	0.07431468391
149	0.07362972069
150	0.07276478767
151	0.07209087944
152	0.07140423584
153	0.07080889893
154	0.07000191116
155	0.06927711868
156	0.06866304398
157	0.06802750778
158	0.06726015472
159	0.06674935913
160	0.06627708054
161	0.06580905914
162	0.06505408859
163	0.06448128128
164	0.0641101532
165	0.0635785408
166	0.0632114563
167	0.06274398041
168	0.06225367355
169	0.0618479805
170	0.0613521347
171	0.0608689003
172	0.06025767517
173	0.0596030426
174	0.05910751724
175	0.05867264175
176	0.05811490631
177	0.05736468506
178	0.0571370697
179	0.0567874527
180	0.05623317719
181	0.05558739471
182	0.05525455093
183	0.05473495865
184	0.05422327042
185	0.05376459122
186	0.05337612534
187	0.05287688065
188	0.05242181778
189	0.05198866653
190	0.05164218521
191	0.05129130936
192	0.05101387405
193	0.0506623764
194	0.05005692291
195	0.04947825623
196	0.04917977905
197	0.04872320175
198	0.04815681839
199	0.04779002762
